Site,SurveyDate_x,Volume_x,SurveyDate_y,Volume_y,VolChange
003l,2015-09-23,1083.59488869,2014-09-24,1064.1344302,19.46045849
008l,2015-09-23,351.02606261,2014-09-24,579.1916622,-228.16559959
009l,2015-09-23,2023.2852183,2014-09-24,2685.581556,-662.2963377
016l,2015-09-24,778.99132087,2014-09-25,379.45268331,399.53863756
022r,2015-09-24,3829.1030302,2014-09-25,3821.0953932,8.007637
024l,2015-09-24,1197.40457757,2014-09-25,726.93871262,470.46586495
029l,2015-09-25,533.0254598,2014-09-26,724.6504622,-191.6250024
030r,2015-09-25,2510.2515707,2014-09-26,3523.8215045,-1013.5699338
032r,2015-09-25,683.9910237,2014-09-26,1260.1685332,-576.1775095
033l,2015-09-25,234.19476558,2014-09-26,536.3736131,-302.17884752
035l_r,2015-09-25,0.0,2014-09-26,471.8504151,-471.8504151
035l_s,2015-09-25,793.3628143,2014-09-26,792.3799215,0.9828928
041r_r,2015-09-26,13645.483223,2014-09-27,13438.629625,206.853598
041r_s,2015-09-26,3954.340197,2014-09-27,3400.989314,553.350883
043l,2015-09-26,2388.709481,2014-09-27,2446.444829,-57.735348
044l_r,2015-09-26,8442.227789,2014-09-28,7593.722527,848.505262
044l_s,2015-09-26,2479.693345,2014-09-28,2701.59822,-221.904875
045l_r,2015-09-27,1347.653717,2014-09-28,817.5769593,530.0767577
045l_s,2015-09-27,1060.2700117,2014-09-28,899.1392604,161.1307513
047r,2015-09-27,5594.3799498,2014-09-28,6899.642858,-1305.2629082
050r_r,2015-09-27,1079.8076706,2014-09-28,2489.4585766,-1409.650906
050r_s,2015-09-27,1951.5530867,2014-09-28,1945.4554164,6.0976703
051l,2015-09-28,9972.730406,2014-09-29,11675.506008,-1702.775602
055r,2015-09-28,10023.338981,2014-09-29,9646.653858,376.685123
056r,2015-09-28,2817.951906,2014-09-29,2478.0505257,339.9013803
062r,2015-09-29,535.599843,2014-09-30,594.2899688,-58.6901258
065r_r,2015-09-29,704.1853861,2014-09-30,1119.1995572,-415.0141711
065r_s,2015-09-29,280.436657,2014-09-30,265.8661901,14.5704669
068r,2015-09-30,6102.425427,2014-10-01,6108.637551,-6.212124
070r,2015-09-30,683.7001998,2014-10-01,868.4065737,-184.7063739
081l,2015-10-01,954.3490477,2014-10-02,879.7663776,74.5826701
084r,2015-10-01,176.64472165,2014-10-02,427.6016333,-250.95691165
087l,2015-10-01,517.0048913,2014-10-02,488.9150053,28.089886
091r,2015-10-02,503.7672644,2014-10-03,551.1984862,-47.4312218
093l,2015-10-02,3223.16059,2014-10-03,3330.225151,-107.064561
104r,2015-10-02,371.2535819,2014-10-03,350.8177789,20.435803
119r,2015-10-03,4637.441487,2014-10-04,4632.573156,4.868331
122r,2015-10-03,5320.539227,2014-10-04,5075.323275,245.215952
123l,2015-10-04,3479.556993,2014-10-05,2645.705485,833.851508
137l,2015-10-04,2549.8614922,2014-10-05,2716.3823578,-166.5208656
139r,2015-10-05,2032.8291058,2014-10-06,2725.0082299,-692.1791241
145l,2015-10-05,833.6434876,2014-10-06,872.4932644,-38.8497768
167l,2015-10-06,2006.541776,2014-10-07,1619.9629244,386.5788516
172l,2015-10-06,8848.860275,2014-10-07,9173.02616,-324.165885
183r,2015-10-07,3097.458881,2014-10-08,2902.774965,194.683916
194l,2015-10-07,10741.658161,2014-10-08,10851.084978,-109.426817
202r_r,2015-10-07,0.0,2014-10-08,0.0,0.0
202r_s,2015-10-07,2783.31886,2014-10-08,3093.382055,-310.063195
213l,2015-10-08,3026.14735,2014-10-09,3742.990155,-716.842805
220r,2015-10-08,1357.0949383,2014-10-09,1281.835553,75.2593853
225r,2015-10-09,4250.515949,2014-10-10,4744.027904,-493.511955
m006r,2015-09-22,2520.7776447,2014-06-13,2233.7841219,286.9935228
m006r,2015-09-22,2520.7776447,2014-09-23,2238.9426122,281.8350325
