id,Site,SurveyDate,Plane_Height,Area_2D,Area_3D,Volume,Errors,SitePart,ProcessedFile,TripDate,SiteGroup,TripGroup,Full_ID,Max_Volume,Segment,Norm_Vol
0,003l,4/7/1994,minto8K,16061.46878,16318.51791,46568.72707,2891.06438,Channel,Channel_Low_Elevation.csv,4/7/1994,long,na,003l_chanminto8K,72592.76076,1_UMC,0.64
1,003l,10/21/1994,minto8K,16803.16507,17107.10065,48198.22881,3024.569713,Channel,Channel_Low_Elevation.csv,11/20/1994,long,long,003l_chanminto8K,72592.76076,1_UMC,0.66
2,003l,4/24/1995,minto8K,16888.2541,17250.88349,51422.39562,3039.885737,Channel,Channel_Low_Elevation.csv,4/24/1995,long,long,003l_chanminto8K,72592.76076,1_UMC,0.71
3,003l,6/23/1995,minto8K,16892.43222,17266.06193,45075.33534,3040.637799,Channel,Channel_Low_Elevation.csv,6/22/1995,long,na,003l_chanminto8K,72592.76076,1_UMC,0.62
4,003l,2/13/1996,minto8K,16892.42809,17418.37435,23771.68728,3040.637056,Channel,Channel_Low_Elevation.csv,2/13/1996,long,long,003l_chanminto8K,72592.76076,1_UMC,0.33
5,003l,4/16/1996,minto8K,16886.69406,17513.04061,7113.231565,3039.604931,Channel,Channel_Low_Elevation.csv,4/15/1996,long,long,003l_chanminto8K,72592.76076,1_UMC,0.10
6,003l,9/13/1996,minto8K,16892.43222,17611.05854,4677.143001,3040.6378,Channel,Channel_Low_Elevation.csv,9/12/1996,long,long,003l_chanminto8K,72592.76076,1_UMC,0.06
7,003l,2/14/1997,minto8K,16892.42727,17621.15095,6903.574378,3040.636908,Channel,Channel_Low_Elevation.csv,2/13/1997,long,long,003l_chanminto8K,72592.76076,1_UMC,0.10
8,003l,4/20/1997,minto8K,16892.43222,17545.9766,12595.73275,3040.6378,Channel,Channel_Low_Elevation.csv,4/20/1997,long,long,003l_chanminto8K,72592.76076,1_UMC,0.17
9,003l,8/24/1997,minto8K,16892.43509,17486.09021,17726.41275,3040.638315,Channel,Channel_Low_Elevation.csv,8/23/1997,long,long,003l_chanminto8K,72592.76076,1_UMC,0.24
10,003l,11/3/1997,minto8K,16892.45865,17248.97009,45773.95578,3040.642557,Channel,Channel_Low_Elevation.csv,11/3/1997,long,na,003l_chanminto8K,72592.76076,1_UMC,0.63
